Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
2012.0,1153n,0.320922,0.0,0.402381,-0.172293,14.0
2012.0,1149n,0.383557,0.0,0.45,-0.165506,14.0
2012.0,1150o,0.035104,0.0,0.45,-0.167037,14.0
2012.0,1147o,0.044255,0.0,0.465873,-0.162379,14.0
2012.0,1152o,0.035104,0.0,0.402381,-0.170307,14.0
2012.0,1155o,0.035104,0.0,0.402381,-0.17759,14.0
2012.0,1145o,0.044255,0.0,0.957937,-0.159681,14.0
2012.0,1157o,0.0,0.0,0.323016,-0.184703,14.0
2012.0,1159o,0.0,0.0,0.116667,-0.192788,14.0
2012.0,1161o,0.0,0.0,0.116667,-0.2015,14.0
2012.0,1163o,0.0,0.0,0.116667,-0.210614,14.0
2012.0,1115n,0.735334,0.233333,0.587302,-0.112054,14.0
2012.0,1117n,1.115971,0.145455,1.0,-0.114962,14.0
2012.0,1121n,1.336002,0.109589,1.285714,-0.119903,14.0
2012.0,1119n,1.233974,0.123077,1.15873,-0.1175,14.0
2012.0,1123n,1.336002,0.109589,1.285714,-0.122175,14.0
2012.0,1125n,1.925333,0.081967,2.095238,-0.124192,14.0
2012.0,1127n,1.940868,0.081301,2.111111,-0.126343,14.0
2012.0,1129n,1.940868,0.080645,2.126984,-0.128612,14.0
2012.0,1131n,2.010138,0.07874,2.174603,-0.130186,14.0
2012.0,1135n,1.454773,0.04717,1.761905,-0.133966,14.0
2012.0,1133n,1.715458,0.06087,1.936508,-0.131402,14.0
2012.0,1137n,1.097679,0.047619,1.396825,-0.138641,14.0
2012.0,1139n,1.093802,0.035294,1.396825,-0.144444,14.0
2012.0,1141n,0.995215,0.025641,1.269841,-0.150977,14.0
2012.0,1143n,0.929232,0.027397,1.190476,-0.157876,14.0
2012.0,1116n,1.046366,0.137255,0.920635,-0.113586,14.0
2012.0,1114n,0.697722,0.25,0.555556,-0.110444,14.0
2012.0,1122n,1.336002,0.109589,1.285714,-0.121122,14.0
2012.0,1112n,0.855099,0.189189,0.698413,-0.106221,14.0
2012.0,1118n,1.206149,0.129032,1.111111,-0.11626,14.0
2012.0,1120n,1.270019,0.117647,1.206349,-0.118698,14.0
2012.0,1126n,1.940868,0.081301,2.111111,-0.125201,14.0
2012.0,1128n,1.940868,0.080645,2.126984,-0.127443,14.0
2012.0,1130n,1.985057,0.079365,2.15873,-0.129483,14.0
2012.0,1132n,1.739548,0.060345,1.952381,-0.130752,14.0
2012.0,1134n,1.457197,0.048077,1.730159,-0.132357,14.0
2012.0,1110n,0.748188,0.1875,0.603175,-0.100418,13.0
2012.0,1142n,0.929232,0.027397,1.190476,-0.154433,14.0
2012.0,1144n,1.113306,0.024891,1.307143,-0.158679,14.0
2012.0,1108n,0.76668,0.181818,0.619048,-0.093989,13.0
2012.0,1106o,0.0,0.176471,0.634921,-0.087698,13.0
2012.0,1104o,0.013116,0.22449,0.952381,-0.081204,13.0
2012.0,1102o,0.013116,0.25,1.031746,-0.074073,13.0
2012.0,1100o,0.013116,0.193878,1.857143,-0.066515,13.0
2012.0,1098o,0.013116,0.221311,2.365079,-0.058618,13.0
2012.0,1096o,0.013116,0.213115,2.349206,-0.050059,13.0
2012.0,1075n,1.295763,0.150685,1.333333,-0.020842,13.0
2012.0,1113n,0.929521,0.225,0.777778,-0.108565,14.0
