PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
5.843882649,1.104240527,0 to -30m,1153,1153n,272.8637766,110.4240527,n,2,2016,1153n,0.131485,0,0.124603,-0.051303,14
7.287309184,1.181918065,0 to -30m,1149,1149n,292.0583144,118.1918065,n,2,2016,1149n,0.449724,0,0.330952,-0.038599,14
2.536720155,0.355512174,-30 to -60m,1150,1150o,87.84897139,35.55121741,o,3,2016,1150o,0,0,0.330952,-0.041567,14
3.698506879,0.602351676,-30 to -60m,1147,1147o,148.8443408,60.23516763,o,3,2016,1147o,0,0,0.346825,-0.033263,14
2.667851015,0.380159233,-30 to -60m,1152,1152o,93.93939226,38.01592329,o,3,2016,1152o,0,0,0.124603,-0.047903,14
4.98534366,0.864146238,-30 to -60m,1145,1145o,213.5351859,86.41462384,o,3,2016,1145o,0,0,0.362698,-0.028737,14
3.29728311,0.455184665,0 to -30m,1115,1115n,112.4785802,45.51846647,n,2,2016,1115n,1.084585,0.037037,0.888889,0.072092,14
3.330648463,0.567143743,0 to -30m,1117,1117n,140.1442709,56.71437428,n,2,2016,1117n,1.307459,0.029412,1.111111,0.068385,14
3.852863243,0.728687581,0 to -30m,1121,1121n,180.0626227,72.86875813,n,2,2016,1121n,1.700975,0.020202,1.603175,0.058322,14
3.773600696,0.682616326,0 to -30m,1119,1119n,168.6781675,68.26163255,n,2,2016,1119n,1.60084,0.021978,1.47619,0.063781,14
4.42940263,0.763474038,0 to -30m,1123,1123n,188.6585434,76.34740379,n,2,2016,1123n,2.000686,0.02381,2.047619,0.051728,14
5.013290508,0.802742863,0 to -30m,1125,1125n,198.3620814,80.27428629,n,2,2016,1125n,2.269601,0.020134,2.412698,0.043815,14
5.734875783,1.089524719,0 to -30m,1127,1127n,269.2274212,108.9524719,n,2,2016,1127n,2.269601,0.02027,2.396825,0.034533,14
6.172799741,1.212585303,0 to -30m,1129,1129n,299.6363539,121.2585303,n,2,2016,1129n,2.288196,0.020134,2.412698,0.023778,14
6.672157057,1.149334819,0 to -30m,1131,1131n,284.0068189,114.9334819,n,2,2016,1131n,2.564864,0.012422,2.587302,0.011566,14
5.662677202,1.243801263,0 to -30m,1135,1135n,307.3499855,124.3801263,n,2,2016,1135n,1.943832,0.007471,2.140476,-0.007698,14
6.888556801,1.399119279,0 to -30m,1133,1133n,345.7299032,139.9119279,n,2,2016,1133n,2.274741,0.006667,2.396825,-0.001932,14
4.832463409,0.773550738,0 to -30m,1137,1137n,191.1485502,77.35507382,n,2,2016,1137n,1.576391,0.008941,1.79127,-0.012893,14
4.056572833,0.722684147,0 to -30m,1139,1139n,178.5791418,72.2684147,n,2,2016,1139n,1.321936,0.01077,1.489683,-0.017325,14
3.937453247,0.604725445,0 to -30m,1141,1141n,149.4309118,60.4725445,n,2,2016,1141n,1.124022,0.013184,1.219841,-0.021069,14
4.241052138,0.856443989,0 to -30m,1143,1143n,211.6319187,85.64439895,n,2,2016,1143n,0.804857,0,0.79127,-0.024698,14
3.24712858,0.352677735,0 to -30m,1116,1116n,87.14856617,35.26777347,n,2,2016,1116n,1.155406,0.033898,0.968254,0.070346,14
3.300959653,0.431742145,0 to -30m,1114,1114n,106.6858075,43.17421452,n,2,2016,1114n,0.935198,0.090909,0.761905,0.073676,14
3.778052021,0.629618089,0 to -30m,1122,1122n,155.5820181,62.96180891,n,2,2016,1122n,1.946864,0.024793,1.968254,0.055229,14
3.113146584,0.398069182,0 to -30m,1112,1112n,98.36503701,39.80691818,n,2,2016,1112n,1.082744,0.111111,0.952381,0.075716,14
3.588087504,0.539605445,0 to -30m,1118,1118n,133.3394094,53.96054451,n,2,2016,1118n,1.426958,0.025974,1.253968,0.066205,14
3.479824346,0.513734344,0 to -30m,1120,1120n,126.946521,51.3734344,n,2,2016,1120n,1.64856,0.021053,1.539683,0.061143,14
5.457603133,1.02405823,0 to -30m,1126,1126n,253.0502996,102.405823,n,2,2016,1126n,2.269601,0.02027,2.396825,0.039297,14
5.954294714,1.134266563,0 to -30m,1128,1128n,280.2833716,113.4266563,n,2,2016,1128n,2.288196,0.020134,2.412698,0.029324,14
6.450564767,1.262377605,0 to -30m,1130,1130n,311.9402996,126.2377605,n,2,2016,1130n,2.266009,0.013423,2.396825,0.017792,14
6.967463691,1.408723053,0 to -30m,1132,1132n,348.1030473,140.8723053,n,2,2016,1132n,2.544196,0.0125,2.571429,0.005004,14
6.486235373,1.290188308,0 to -30m,1134,1134n,318.8124739,129.0188308,n,2,2016,1134n,2.002673,0.007307,2.188095,-0.004833,14
4.051910599,0.763316972,0 to -30m,1110,1110n,188.6197317,76.33169725,n,2,2016,1110n,1.415558,0.164179,1.238095,0.076482,13
3.95382427,0.6185146,0 to -30m,1142,1142n,152.8382862,61.85146002,n,2,2016,1142n,1.070025,0.013918,1.156349,-0.022829,14
4.111440754,0.605628881,0 to -30m,1144,1144n,149.6541557,60.56288813,n,2,2016,1144n,0.771791,0,0.711905,-0.026664,14
4.851372788,0.87378623,0 to -30m,1108,1108n,215.9172796,87.37862296,n,2,2016,1108n,1.811404,0.149425,1.587302,0.07684,13
5.190009303,0.821641316,-30 to -60m,1106,1106o,203.0319909,82.16413162,o,3,2016,1106o,0.080774,0.157303,1.634921,0.077009,13
5.676750633,0.764391838,-30 to -60m,1104,1104o,188.8853368,76.43918382,o,3,2016,1104o,0.036659,0.188119,1.904762,0.077121,13
6.102052973,0.866423395,-30 to -60m,1102,1102o,214.0978836,86.64233953,o,3,2016,1102o,0.036659,0.18018,2.079365,0.077123,13
6.160651952,1.058296298,-30 to -60m,1100,1100o,261.5107105,105.8296298,o,3,2016,1100o,0.036659,0.185484,2.333333,0.0772,13
6.195033333,1.136184792,-30 to -60m,1098,1098o,280.7573763,113.6184792,o,3,2016,1098o,0.036659,0.24,2.952381,0.077048,13
6.126309636,0.743173086,-30 to -60m,1096,1096o,183.6420689,74.31730859,o,3,2016,1096o,0.036659,0.235294,3,0.075901,13
6.202318283,1.303946106,0 to -30m,1075,1075n,322.2121,130.3946106,n,2,2016,1075n,1.675081,0.2,1.809524,0.019968,13
3.241958024,0.56929481,0 to -30m,1113,1113n,140.6758111,56.92948096,n,2,2016,1113n,1.39218,0.085714,1.206349,0.074893,14
4.74496304,0.751994387,0 to -30m,1124,1124n,185.8218598,75.19943868,n,2,2016,1124n,2.257493,0.02027,2.396825,0.047938,14
3.536546588,0.63521039,0 to -30m,1111,1111n,156.9639056,63.52103895,n,2,2016,1111n,1.279886,0.126984,1.126984,0.076184,13
