21,sitename,PISCO_CODE,PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
21,ANDREW_MOLERA_DC,SAMO02,3.147155613,0.369734825,0 to -30m,498,498n,91.36346496,36.9734825,n,2,2016,498n,4.036129,0.190476,3.174603,0.144721,5
21,ANDREW_MOLERA_DC,SAMO02,3.316062143,0.488822217,0 to -30m,497,497n,120.7906003,48.88222168,n,2,2016,497n,3.803114,0.170886,2.936508,0.141456,5
21,ANDREW_MOLERA_DC,SAMO02,2.178110422,0.240766194,0 to -30m,499,499n,59.49462212,24.07661936,n,2,2016,499n,4.301208,0.175824,3.396825,0.148044,6
21,ANDREW_MOLERA_DC,SAMO02,4.117208563,0.562316082,0 to -30m,500,500n,138.9513299,56.23160819,n,2,2016,500n,3.348421,0.175325,2.873016,0.151424,6
21,ANDREW_MOLERA_DC,SAMO02,3.551028764,0.581450659,0 to -30m,496,496n,143.6795868,58.14506587,n,2,2016,496n,3.680894,0.178808,2.825397,0.138291,5
21,ANDREW_MOLERA_DC,SAMO02,5.393063179,0.997925314,-30 to -60m,497,497o,246.5927155,99.79253143,o,3,2016,497o,0,0.170886,2.936508,0.141456,5
21,ANDREW_MOLERA_DC,SAMO02,5.252070369,1.056054932,-30 to -60m,498,498o,260.9568567,105.6054932,o,3,2016,498o,0,0.190476,3.174603,0.144721,5
21,ANDREW_MOLERA_DC,SAMO02,5.011606266,0.844547854,-30 to -60m,499,499o,208.6923196,84.45478538,o,3,2016,499o,0,0.175824,3.396825,0.148044,6
21,ANDREW_MOLERA_DC,SAMO02,5.346815287,0.862562906,0 to -30m,507,507n,213.1439359,86.25629058,n,2,2016,507n,4.044109,0.102128,4.111111,0.176533,6
21,ANDREW_MOLERA_DC,SAMO02,5.665512558,1.166705004,0 to -30m,505,505n,288.2990851,116.6705004,n,2,2016,505n,4.09553,0.101266,4.142857,0.169461,6
