"shapeid","x","y","PERIMETER","AREA","DEPTH","ATOS_ID","HAB_ID","ACRES","HECTARES","ZONE_CODE","ZONE","Year","POLY_ID","dens_sm","pupratio","lin_dens","trend5yr","Sect_ID"
"0","-119.877163329","34.3920093464","4.00565292762","0.74582847411","-30 to -60m","1234","1234o","184.298229605","74.5828474115","o","3","2009.0","1234o","0.0","0.0","0.754861","0.791319","14.0"
"1","-119.887132582","34.3934934402","3.85261486745","0.59871465266","-30 to -60m","1232","1232o","147.945612635","59.8714652659","o","3","2009.0","1232o","0.0","0.0","0.754861","0.786929","14.0"
"2","-119.895507492","34.3962247233","3.98300323033","0.71072139362","-30 to -60m","1230","1230o","175.623081087","71.0721393619","o","3","2009.0","1230o","0.0","0.0","0.754861","0.780254","14.0"
"3","-119.905251976","34.3997173076","4.03299316085","0.60623486417","-30 to -60m","1228","1228o","149.80389737","60.6234864173","o","3","2009.0","1228o","0.0","0.0","0.738987","0.771437","14.0"
"4","-119.914000835","34.4033345647","4.52768114556","0.73444333393","-30 to -60m","1226","1226o","181.484900196","73.4443333928","o","3","2009.0","1226o","0.0","0.0","1.18345","0.760285","14.0"
"5","-119.923284389","34.4073809228","4.75864554533","0.77424611079","-30 to -60m","1224","1224o","191.320380555","77.4246110787","o","3","2009.0","1224o","0.0","0.0","0.818356","0.746824","14.0"
"6","-119.952013593","34.4134818571","3.2907430797","0.542252067","-30 to -60m","1218","1218o","133.993403867","54.2252066998","o","3","2009.0","1218o","0.0","0.0","0.818356","0.699207","14.0"
"7","-119.942124156","34.4123818756","4.10072760794","0.69835024468","-30 to -60m","1220","1220o","172.566103609","69.835024468","o","3","2009.0","1220o","0.0","0.0","0.802482","0.71654","14.0"
"8","-119.932478829","34.4104871789","4.89006422068","0.90827316727","-30 to -60m","1222","1222o","224.439187475","90.827316727","o","3","2009.0","1222o","0.0","0.0","0.802482","0.732252","14.0"
"9","-119.962012557","34.4154915023","3.3038363535","0.50792264596","-30 to -60m","1216","1216o","125.510419185","50.7922645955","o","3","2009.0","1216o","0.0","0.0","0.834229","0.679137","14.0"
"10","-119.971343572","34.418469907","4.10932971508","0.6635493828","-30 to -60m","1214","1214o","163.966623359","66.35493828","o","3","2009.0","1214o","0.0","0.0","0.539703","0.657076","14.0"
"11","-120.020011935","34.4379757292","6.77105183332","1.20724554441","-30 to -60m","1203","1203o","298.316870777","120.724554441","o","3","2009.0","1203o","0.0","0.0","0.079368","0.510978","14.0"
"12","-120.038909783","34.4422434534","5.92333173402","1.29958770634","-30 to -60m","1199","1199o","321.135115924","129.958770634","o","3","2009.0","1199o","0.0","0.0","0.111115","0.454043","14.0"
"13","-120.070384958","34.4460092283","4.34666553539","0.79159147348","-30 to -60m","1193","1193o","195.606513019","79.1591473476","o","3","2009.0","1193o","0.0","0.0","0.111115","0.369751","14.0"
"14","-119.980557787","34.4220092241","5.0814845184","0.86716393294","-30 to -60m","1212","1212o","214.280874444","86.7163932943","o","3","2009.0","1212o","0.0","0.0","0.523829","0.633795","14.0"
"15","-119.989493083","34.4268980615","6.21599515534","1.1389453717","-30 to -60m","1210","1210o","281.439530545","113.89453717","o","3","2009.0","1210o","0.0","0.0","0.539703","0.608854","14.0"
"16","-119.998323946","34.4297991144","6.59630944095","1.17440655687","-30 to -60m","1208","1208o","290.202180234","117.440655687","o","3","2009.0","1208o","0.0","0.0","0.57145","0.582203","14.0"
"17","-120.006932895","34.4334141084","7.00449938197","1.2841098379","-30 to -60m","1206","1206o","317.310451341","128.41098379","o","3","2009.0","1206o","0.0","0.0","0.492082","0.55417","14.0"
"18","-120.015615029","34.4368072795","7.02813768522","1.30770998795","-30 to -60m","1204","1204o","323.142175421","130.770998795","o","3","2009.0","1204o","0.0","0.0","0.079368","0.525274","14.0"
"19","-120.02906588","34.4395375995","6.22839059553","1.15136632241","-30 to -60m","1201","1201o","284.508814308","115.136632241","o","3","2009.0","1201o","0.0","0.0","0.095241","0.482587","14.0"
"20","-120.044380198","34.4436904517","5.29052840265","0.97818218103","-30 to -60m","1198","1198o","241.714080988","97.818218103","o","3","2009.0","1198o","0.0","0.0","0.111115","0.439708","14.0"
"21","-120.064865986","34.4456100997","4.61397059926","0.96874076482","-30 to -60m","1194","1194o","239.381056235","96.8740764824","o","3","2009.0","1194o","0.0","0.0","0.095241","0.382957","14.0"
"22","-120.054335584","34.4455772361","4.66269366779","0.83675480222","-30 to -60m","1196","1196o","206.766614598","83.6754802222","o","3","2009.0","1196o","0.0","0.0","0.095241","0.410945","14.0"
"23","-120.080960394","34.4469740078","4.16820695181","0.83101634733","-30 to -60m","1191","1191o","205.348611512","83.1016347327","o","3","2009.0","1191o","0.0","0.0","0.142862","0.344433","14.0"
"24","-120.092854703","34.4474523876","3.87528883729","0.71639832075","-30 to -60m","1189","1189o","177.025880331","71.6398320747","o","3","2009.0","1189o","0.0","0.0","0.126989","0.321657","14.0"
"25","-120.102838882","34.4478590164","3.82331496669","0.5924860233","-30 to -60m","1187","1187o","146.406484802","59.2486023302","o","3","2009.0","1187o","0.0","0.0","0.095241","0.306211","14.0"
"26","-120.112845037","34.4492572284","4.22074734253","0.82949392611","-30 to -60m","1185","1185o","204.972413037","82.9493926112","o","3","2009.0","1185o","0.0","0.0","0.095241","0.295538","14.0"
"27","-120.124062368","34.4505947541","4.48643732464","0.91441298168","-30 to -60m","1183","1183o","225.956368658","91.4412981684","o","3","2009.0","1183o","0.0","0.0","0.095241","0.289098","14.0"
"28","-120.134447031","34.4520800411","4.27538634792","0.60868507891","-30 to -60m","1181","1181o","150.409358619","60.8685078915","o","3","2009.0","1181o","0.0","0.0","0.126989","0.286456","14.0"
"29","-120.144108611","34.4532396541","4.72845814077","0.9014165552","-30 to -60m","1179","1179o","222.744881735","90.1416555205","o","3","2009.0","1179o","0.0","0.0","0.111115","0.287517","14.0"
"30","-120.275513924","34.4568988935","5.84388264909","1.10424052667","0 to -30m","1153","1153n","272.863776574","110.424052667","n","2","2009.0","1153n","0.460354","0.0","0.603198","0.239069","14.0"
"31","-120.209462181","34.464868153","3.47283880065","0.56911514033","0 to -30m","1166","1166n","140.631413851","56.9115140333","n","2","2009.0","1166n","0.127708","0.0","0.079368","0.329374","14.0"
"32","-120.294543199","34.4560771434","7.28730918363","1.18191806549","0 to -30m","1149","1149n","292.058314436","118.191806549","n","2","2009.0","1149n","0.627578","0.0","0.714313","0.204963","14.0"
"33","-119.871497133","34.3914646064","4.23812225861","0.84819138003","-30 to -60m","1235","1235o","209.592654518","84.8191380025","o","3","2009.0","1235o","0.0","0.0","0.738987","0.792546","14.0"
"34","-119.882430619","34.3925186557","4.01674087221","0.7349771254","-30 to -60m","1233","1233o","181.616802941","73.4977125397","o","3","2009.0","1233o","0.0","0.0","0.754861","0.789429","14.0"
"35","-119.89111915","34.3945947414","3.77214482449","0.55559265612","-30 to -60m","1231","1231o","137.289935231","55.5592656121","o","3","2009.0","1231o","0.0","0.0","0.754861","0.783861","14.0"
"36","-119.900632237","34.3980346972","4.16249666346","0.79679947377","-30 to -60m","1229","1229o","196.893437918","79.6799473767","o","3","2009.0","1229o","0.0","0.0","0.738987","0.776114","14.0"
"37","-119.909549623","34.401542008","4.45831373184","0.79852080674","-30 to -60m","1227","1227o","197.318788558","79.8520806736","o","3","2009.0","1227o","0.0","0.0","0.802482","0.766169","14.0"
"38","-119.918636325","34.4053405628","4.93316381621","0.98623803378","-30 to -60m","1225","1225o","243.704725555","98.623803378","o","3","2009.0","1225o","0.0","0.0","1.119955","0.753695","14.0"
"39","-119.927718662","34.409021555","4.94782801006","0.93285159409","-30 to -60m","1223","1223o","230.512649009","93.2851594086","o","3","2009.0","1223o","0.0","0.0","0.802482","0.739677","14.0"
"40","-119.946974956","34.4130594224","3.55491097373","0.58264442183","-30 to -60m","1219","1219o","143.974572116","58.2644421829","o","3","2009.0","1219o","0.0","0.0","0.802482","0.708106","14.0"
"41","-119.937375618","34.4111998553","4.60279131058","0.85233085003","-30 to -60m","1221","1221o","210.615539833","85.2330850029","o","3","2009.0","1221o","0.0","0.0","0.802482","0.724572","14.0"
"42","-119.957212646","34.414247854","3.26006789815","0.53635022111","-30 to -60m","1217","1217o","132.535025988","53.6350221114","o","3","2009.0","1217o","0.0","0.0","0.818356","0.689601","14.0"
"43","-119.966755715","34.4168560282","3.78674813159","0.66180896646","-30 to -60m","1215","1215o","163.536557116","66.1808966463","o","3","2009.0","1215o","0.0","0.0","0.539703","0.667878","14.0"
"44","-119.975983201","34.4201111158","4.80951456222","0.90889460955","-30 to -60m","1213","1213o","224.592749206","90.889460955","o","3","2009.0","1213o","0.0","0.0","0.523829","0.645676","14.0"
"45","-119.985055071","34.4244415704","5.90609511893","1.10318247287","-30 to -60m","1211","1211o","272.602325787","110.318247287","o","3","2009.0","1211o","0.0","0.0","0.539703","0.621528","14.0"
"46","-119.993986585","34.4282672871","6.43172558976","1.19303424347","-30 to -60m","1209","1209o","294.805181835","119.303424347","o","3","2009.0","1209o","0.0","0.0","0.539703","0.595737","14.0"
"47","-120.289671928","34.4378168689","2.53672015491","0.35551217407","-30 to -60m","1150","1150o","87.8489713887","35.5512174066","o","3","2009.0","1150o","0.093017","0.0","0.714313","0.213292","14.0"
"48","-120.301966438","34.4364719642","3.69850687905","0.60235167634","-30 to -60m","1147","1147o","148.844340759","60.2351676337","o","3","2009.0","1147o","0.054091","0.0","0.730187","0.185001","14.0"
"49","-120.280620592","34.4406123743","2.6678510145","0.38015923289","-30 to -60m","1152","1152o","93.9393922613","38.0159232889","o","3","2009.0","1152o","0.082945","0.0","0.698439","0.230564","14.0"
"50","-120.002641315","34.4313784833","6.87642528476","1.26750557029","-30 to -60m","1207","1207o","313.207447459","126.750557029","o","3","2009.0","1207o","0.0","0.0","0.57145","0.568323","14.0"
"51","-120.264939143","34.4442617083","2.94658624083","0.50830802621","-30 to -60m","1155","1155o","125.60564872","50.8308026214","o","3","2009.0","1155o","0.082945","0.0","0.603198","0.25554","14.0"
"52","-120.311879211","34.4393297153","4.98534366023","0.86414623845","-30 to -60m","1145","1145o","213.535185895","86.4146238446","o","3","2009.0","1145o","0.054091","0.0","0.761934","0.16216","14.0"
"53","-120.011234607","34.4352446514","7.05155653604","1.28155009379","-30 to -60m","1205","1205o","316.677924794","128.155009379","o","3","2009.0","1205o","0.0","0.0","0.095241","0.539756","14.0"
"54","-120.024472889","34.4384378335","6.4903270729","1.17789640655","-30 to -60m","1202","1202o","291.064540868","117.789640655","o","3","2009.0","1202o","0.0","0.0","0.079368","0.496748","14.0"
"55","-120.251789533","34.4471867924","2.67903779397","0.43590562515","-30 to -60m","1157","1157o","107.714625785","43.5905625146","o","3","2009.0","1157o","0.048029","0.0","0.523829","0.27128","14.0"
"56","-120.033700285","34.4408698518","6.02520987567","1.09840115686","-30 to -60m","1200","1200o","271.42083687","109.840115686","o","3","2009.0","1200o","0.0","0.0","0.111115","0.468335","14.0"
"57","-120.241501423","34.4490165155","2.42822471809","0.35850636928","-30 to -60m","1159","1159o","88.5888531396","35.8506369281","o","3","2009.0","1159o","0.048029","0.0","0.523829","0.286486","14.0"
"58","-120.059426223","34.4459906623","4.46751438529","0.79518451813","-30 to -60m","1195","1195o","196.494373689","79.5184518127","o","3","2009.0","1195o","0.0","0.0","0.079368","0.396694","14.0"
"59","-120.049287436","34.4442569449","5.25394124481","0.94661498762","-30 to -60m","1197","1197o","233.913657619","94.6614987624","o","3","2009.0","1197o","0.0","0.0","0.095241","0.425306","14.0"
"60","-120.087052243","34.447387348","4.02162801956","0.79984773361","-30 to -60m","1190","1190o","197.646679328","79.9847733605","o","3","2009.0","1190o","0.0","0.0","0.126989","0.332124","14.0"
"61","-120.07542812","34.4465422446","4.21652540412","0.75905299808","-30 to -60m","1192","1192o","187.566080644","75.9052998078","o","3","2009.0","1192o","0.0","0.0","0.111115","0.356942","14.0"
"62","-120.09814851","34.4477137953","3.89440642776","0.69596388927","-30 to -60m","1188","1188o","171.976422346","69.5963889271","o","3","2009.0","1188o","0.0","0.0","0.126989","0.313031","14.0"
"63","-120.232120375","34.4510453594","2.23653463511","0.27523893349","-30 to -60m","1161","1161o","68.0130216556","27.5238933494","o","3","2009.0","1161o","0.048029","0.0","0.063494","0.301057","14.0"
"64","-120.223180958","34.4523313715","2.55682340141","0.357482495","-30 to -60m","1163","1163o","88.335848294","35.7482494997","o","3","2009.0","1163o","0.048029","0.0","0.079368","0.314406","14.0"
"65","-120.118393354","34.4501006746","4.26121188222","0.83161742677","-30 to -60m","1184","1184o","205.497141476","83.1617426766","o","3","2009.0","1184o","0.0","0.0","0.095241","0.291877","14.0"
"66","-120.21379245","34.4543466817","2.70389558357","0.3986750527","-30 to -60m","1165","1165o","98.5147509785","39.8675052699","o","3","2009.0","1165o","0.048029","0.0","0.079368","0.325323","14.0"
"67","-120.199017757","34.4541577296","2.99884512108","0.48121545437","-30 to -60m","1168","1168o","118.910928421","48.1215454375","o","3","2009.0","1168o","0.048029","0.0","0.079368","0.334151","14.0"
"68","-120.129747697","34.4515253179","4.60406215938","0.93363200505","-30 to -60m","1182","1182o","230.705492757","93.3632005048","o","3","2009.0","1182o","0.0","0.0","0.111115","0.287334","14.0"
"69","-120.189069104","34.4542994015","3.45396605197","0.52929168692","-30 to -60m","1170","1170o","130.790824204","52.9291686921","o","3","2009.0","1170o","0.048029","0.0","0.079368","0.333414","14.0"
"70","-120.179177274","34.4547413327","3.97256489788","0.71854717387","-30 to -60m","1172","1172o","177.556873501","71.8547173869","o","3","2009.0","1172o","0.0","0.0","0.095241","0.324372","14.0"
"71","-120.168028824","34.4541694662","4.35501903174","0.78149992915","-30 to -60m","1174","1174o","193.11283811","78.1499929154","o","3","2009.0","1174o","0.0","0.0","0.126989","0.310728","14.0"
"72","-120.14899234","34.4536530795","4.73827926371","0.80193278538","-30 to -60m","1178","1178o","198.161906842","80.1932785377","o","3","2009.0","1178o","0.0","0.0","0.111115","0.289629","14.0"
"73","-120.158458605","34.4543848876","4.69479254873","0.84694895584","-30 to -60m","1176","1176o","209.285644817","84.6948955844","o","3","2009.0","1176o","0.0","0.0","0.126989","0.29753","14.0"
"74","-120.458683425","34.4408945148","3.2972831098","0.45518466468","0 to -30m","1115","1115n","112.478580205","45.5184664685","n","2","2009.0","1115n","1.076419","0.0","0.825429","-0.071659","14.0"
"75","-120.448794301","34.4425297997","3.33064846256","0.56714374278","0 to -30m","1117","1117n","140.144270906","56.7143742779","n","2","2009.0","1117n","1.105884","0.0","0.857176","-0.074123","14.0"
"76","-120.429868293","34.4445147267","3.85286324318","0.72868758131","0 to -30m","1121","1121n","180.062622749","72.8687581307","n","2","2009.0","1121n","1.377698","0.0","1.158775","-0.073711","14.0"
"77","-120.439699012","34.4451222101","3.77360069649","0.68261632552","0 to -30m","1119","1119n","168.678167514","68.2616325524","n","2","2009.0","1119n","1.276214","0.0","1.031786","-0.074908","14.0"
"78","-120.419166243","34.4436706902","4.42940262964","0.76347403786","0 to -30m","1123","1123n","188.658543365","76.3474037859","n","2","2009.0","1123n","1.420608","0.0","1.238144","-0.070317","14.0"
"79","-120.410566198","34.4448432123","5.01329050844","0.80274286289","0 to -30m","1125","1125n","198.362081355","80.2742862891","n","2","2009.0","1125n","1.43331","0.0","1.285764","-0.06417","14.0"
"80","-120.401085463","34.4444810737","5.73487578257","1.08952471862","0 to -30m","1127","1127n","269.227421212","108.952471862","n","2","2009.0","1127n","1.43331","0.0","1.269891","-0.054796","14.0"
"81","-120.391169658","34.4435954826","6.17279974127","1.21258530326","0 to -30m","1129","1129n","299.636353924","121.258530326","n","2","2009.0","1129n","1.398269","0.0","1.269891","-0.040941","14.0"
"82","-120.381472781","34.4429955894","6.67215705729","1.14933481927","0 to -30m","1131","1131n","284.006818948","114.933481927","n","2","2009.0","1131n","1.339537","0.0","1.254017","-0.019441","14.0"
"83","-120.361306589","34.4470165751","5.66267720203","1.24380126284","0 to -30m","1135","1135n","307.349985525","124.380126284","n","2","2009.0","1135n","0.819882","0.0","0.904797","0.035847","14.0"
