sitename,PISCO_CODE,lat,lon
ANACAPA_ADMIRALS_CEN,SADM03,34.002883,-119.425200
ANACAPA_ADMIRALS_E,SADM02,34.003433,-119.418000
ANACAPA_ADMIRALS_W,SADM01,34.007750,-119.434383
ANACAPA_BLACK_SEA_BASS_CEN,SBSB01,34.012600,-119.389183
ANACAPA_CAT_ROCK_CEN,SCTR02,34.003597,-119.424011
ANACAPA_EAST_FISH_CAMP_CEN,SEFC03,34.001583,-119.398067
ANACAPA_EAST_FISH_CAMP_E,SEFC02,34.004500,-119.385783
ANACAPA_EAST_FISH_CAMP_W,SEFC01,34.003083,-119.404167
ANACAPA_EAST_ISLE_CEN,SEAI03,34.017667,-119.363683
ANACAPA_EAST_ISLE_E,SEAI02,34.017033,-119.361133
ANACAPA_EAST_ISLE_W,SEAI01,34.015867,-119.371733
ANACAPA_LIGHTHOUSE_REEF_CEN,SLHR03,34.012783,-119.363133
ANACAPA_LIGHTHOUSE_REEF_E,SLHR02,34.013900,-119.360000
ANACAPA_LIGHTHOUSE_REEF_W,SLHR01,34.010783,-119.372500
ANACAPA_MIDDLE_ISLE_CEN,SMDI03,34.009883,-119.388333
ANACAPA_MIDDLE_ISLE_E,SMDI02,34.008500,-119.388167
ANACAPA_MIDDLE_ISLE_W,SMDI01,34.007833,-119.394467
ANACAPA_WEST_ISLE_CEN,SWEI03,34.016983,-119.432917
ANACAPA_WEST_ISLE_E,SWEI02,34.016083,-119.421833
ANACAPA_WEST_ISLE_W,SWEI01,34.017417,-119.438067
ANDREW_MOLERA_DC,SAMO02,36.276089,-121.873038
ANDREW_MOLERA_OLD_DC,SAMO03,36.273592,-121.869709
ANDREW_MOLERA_UC,SAMO01,36.277685,-121.875988
ARGUELLO_E,SARG02,34.541733,-120.571717
ARGUELLO_W,SARG01,34.540500,-120.569117
ARROYO_QUEMADO_E,SARQ02,34.466283,-120.116967
ARROYO_QUEMADO_W,SARQ01,34.468350,-120.125183
ASILOMAR_DC,SASL01,36.632245,-121.946677
ASILOMAR_UC,SASL02,36.636512,-121.945589
BIG_CREEK_DC,SBGC02,36.069079,-121.605115
BIG_CREEK_UC,SBGC01,36.069152,-121.608040
BIRD_ROCK_CEN,SBRD01,36.593430,-121.971350
BIXBY_CEN,SBIX01,36.368468,-121.907499
BLUEFISH_DC,SBLF02,36.525143,-121.948778
BLUEFISH_UC,SBLF01,36.522225,-121.943542
BUCHON_CEN,SBCH01,35.244079,-120.901098
BULLITO_CEN,SBUL01,34.455433,-120.332050
BUTTERFLY_DC,SBUT02,36.537439,-121.935670
BUTTERFLY_UC,SBUT01,36.539655,-121.936297
CAMBRIA_DC,SCAM02,35.567893,-121.124319
CAMBRIA_UC,SCAM01,35.570495,-121.127145
CANNERY_DC,SCAN02,36.614953,-121.896037
CANNERY_UC,SCAN01,36.612639,-121.894574
CARMEL_DC,SCRM02,36.542364,-121.938197
CARMEL_UC,SCRM01,36.544064,-121.938865
CAT_BLUE_CAVERN_CEN,SBLC01,33.446603,-118.476392
CAT_INTAKE_PIPES_CEN,SINP01,33.447386,-118.483264
CAT_PUMPERNICKEL_CEN,SPMP01,33.447831,-118.479494
CAYUCOS_DC,SCAY02,35.434393,-120.947257
