sample_type,sample_subtype,pisco_classcode,genus,species,description
FISH,FISH,AAFF,Atherinops,affinis,"Topsmelt,"
FISH,FISH,ACAL,Atherinopsis,californiensis,"Jacksmelt,"
FISH,FISH,ACOR,Artedius,corallinus,"Coralline Sculpin,"
FISH,FISH,ADAV,Anisotremus,davidsonii,"Sargo,"
FISH,FISH,AFLA,Aulorhynchus,flavidus,"Tubesnout,"
FISH,FISH,AHOL,Alloclinus,holderi,"Island Kelpfish,"
FISH,FISH,AINE,Anoplagonus,inermis,"Smooth alligatorfish,"
FISH,FISH,ANOB,Atractoscion,nobilis,"white seabass,"
FISH,FISH,AOCE,Anarrhichthys,ocellatus,"Wolf Eel,"
FISH,FISH,APFL,Apodichthys,flavidus,"Penpiont Gunnel,"
FISH,FISH,ASAN,Apodichthys,sanctaerosae,"Kelp Gunnel,"
FISH,FISH,ATHE,Atherinidae,spp.,"Grunion, Topsmelt or Jacksmelt, unidentified sp."
FISH,FISH,AVUL,Alopias,vulpinus,"Thresher Shark,"
FISH,FISH,BAITBALL,,,"Bait, Sardines/Anchovies,"
FISH,FISH,BATH,Bathymasteridae,spp.,"Ronquils, unidentified sp., possibly Rathbunella hypoplecta"
FISH,FISH,BFRE,Brachyistius,frenatus,"Kelp Surfperch,"
FISH,FISH,BLEN,Blenniidae,spp.,"Blennies, unidentifed sp."
FISH,FISH,BOTH,Bothidae,spp.,"Lefteyed flounders, unidentifed sp."
FISH,FISH,BPOL,Balistes,polylepis,"Finescale Triggerfish,"
FISH,FISH,BRAY,Myliobatis,californica,"Bat Ray,"
FISH,FISH,CAGG,Cymatogaster,aggregata,"Shiner Surfperch,"
FISH,FISH,CANA,Clinocottus,analis,"Wooly Sculpin,"
FISH,FISH,CFAL,Chaetodon,falcifer,"Scythemarked Butterflyfish,"
FISH,FISH,CITH,Citharichthys,spp.,"Sanddabs, unidentifed sp."
FISH,FISH,CLIN,Clinidae,spp.,"Kelpfishes and Fringeheads, unidentifed sp."
FISH,FISH,CLUP,Clupeidae,spp.,"Sardines and anchovies, unidentifed sp."
FISH,FISH,CNUG,Chirolophis,nugator,"Mosshead warbonnet,"
FISH,FISH,COTT,Cottidae,spp.,"Sculpins, unidentifed sp."
FISH,FISH,CPRI,Caulolatilus,princeps,"Ocean Whitefish,"
FISH,FISH,CPUG,Chitonotus,pugetensis,"Roughback Sculpin,"
FISH,FISH,CPUN,Chromis,punctipinnis,"Blacksmith,"
FISH,FISH,CSAT,Cheilotrema,saturnum,"Black Croaker,"
FISH,FISH,CSOR,Citharichthys,sordidus,"Pacific Sanddab,"
FISH,FISH,CSTI,Citharichthys,stigmaeus,"Speckled Sanddab,"
FISH,FISH,CVEN,Cephaloscyllium,ventriosum,"Swell Shark,"
FISH,FISH,CVIO,Cebidichthys,violaceus,"Monkeyface Eel,"
FISH,FISH,EBIS,Enophrys,bison,"Buffalo sculpin,"
FISH,FISH,EJAC,Embiotoca,jacksoni,"Black Surfperch,"
FISH,FISH,ELAT,Embiotoca,lateralis,"Striped Surfperch,"
FISH,FISH,EMBI,Embiotocidae,spp.,"Surfperches, unidentifed sp."
FISH,FISH,EMOR,Engraulis,mordax,"Northern Anchovy,"
FISH,FISH,EWAL,Ernogrammus,walkeri,"Masked prickleback,"
FISH,FISH,GBY,,,"Sebastes chrysomelas or S. carnatus Rockfish young of year, Consists of Gopher/Black and Yellow/Copper YOYs that are old enough to be distinguished from Kelp rockfish (subset of KGB YOYs)"
FISH,FISH,GGAL,Galeorhinus,galeus,"Tope Shark,"
FISH,FISH,GIBB,Gibbonsia,spp.,"Kelpfish, unidentified sp."
FISH,FISH,GMAE,Gobiesox,maeandricus,"Northern Clingfish,"
FISH,FISH,GMOR,Gymnothorax,mordax,"California Moray,"
FISH,FISH,GNIG,Girella,nigricans,"Opaleye,"
FISH,FISH,GOBI,Gobiidae,spp.,"Gobies, unidentified sp."
FISH,FISH,HANA,Hyperprosopon,analis,"Spotfin Surfperch,"
FISH,FISH,HARG,Hyperprosopon,argenteum,"Walleye Surfperch,"
FISH,FISH,HAZU,Hermosilla,azurea,"Zebra-perch sea chub,"
FISH,FISH,HCAR,Hypsurus,caryi,"Rainbow Surfperch,"
FISH,FISH,HDEC,Hexagrammos,decagrammus,"Kelp Greenling,"
FISH,FISH,HELL,Hyperprosopon,ellipticum,"Silver Surfperch,"
FISH,FISH,HEXA,Hexagrammos,spp.,"unidentified Hexagrammos, used first in NCCSR 2010 for juveniles too small to distinguish between HDEC and HLAG"
FISH,FISH,HFRA,Heterodontus,francisci,"Horn Shark,"
FISH,FISH,HHEM,Hemilepidotus,hemilepidotus,"Red Irish Lord,"
FISH,FISH,HLAG,Hexagrammos,lagocephalus,"Rock Greenling,"
FISH,FISH,HROS,Heterostichus,rostratus,"Giant Kelpfish,"
FISH,FISH,HRUB,Hypsypops,rubicundus,"Garibaldi,"
FISH,FISH,HSEM,Halicoeres,semicinctus,"Rock Wrasse,"
FISH,FISH,HSTE,Hexagrammos,stelleri,"Whitespotted greenling,"
FISH,FISH,JZON,Jordania,zonope,"Longfin Sculpin,"
FISH,FISH,KGB,Sebastes,"atrovirens,carnatus,chrysomelas,caurinus","Kelp, Gopher,.Black and Yellow or Copper Rockfish young of the year, This species group includes Sebastes atrovirens, S. carnatus, S. chrysomelas, S. caurinus (Kelp/Gopher/Black and Yellow/Copper)"
FISH,FISH,KSEI,Kasatkia,seigeli,"Six-spot Prickleback,"
FISH,FISH,LCON,Lethops,connectens,"Kelp Goby, Halfblind Goby,"
FISH,FISH,LDAL,Lythrypnus,dalli,"Bluebanded Goby,"
FISH,FISH,LHIR,Leiocottus,hirundo,"Lavender Sculpin,"
FISH,FISH,LIPA,Liparis,sp.,"Snailfish, unidentified sp."
FISH,FISH,LLEP,Lepidogobius,lepidus,"bay goby,"
FISH,FISH,LMUC,Liparis,mucosus,"Slimy Snailfish,"
FISH,FISH,MCAL,Medialuna,californiensis,"Halfmoon,"
FISH,FISH,MCEP,Mugil,cephalus,"Mullet,"
FISH,FISH,MMOL,Mola,Mola,"Ocean Sunfish,"
FISH,FISH,MXEN,Mycteroperca,xenarcha,"Broomtail grouper,"
FISH,FISH,NO_ORG,,,"No organisms present in this sample,"
FISH,FISH,NSTE,Neoclinus,stephensae,"Yellowfin Fringehead,"
FISH,FISH,NUNI,Neoclinus,uninotatus,"Onespot Fringehead,"
FISH,FISH,OCAL,Oxyjulis,californica,"Senorita,"
FISH,FISH,OELO,Ophiodon,elongatus,"Lingcod,"
FISH,FISH,OPIC,Oxylebius,pictus,"Painted Greenling,"
FISH,FISH,OTRI,Orthonopias,triacis,"snubnose sculpin,"
FISH,FISH,OYB,Sebastes,"serranoides,flavidus,melanops","olive, yellowtail or black rockfish young of the year, This species group includes S. serranoides, S. flavidus, S. melanops (Olive/Yellowtail/Black)"
FISH,FISH,OYT,Sebastes,"serranoides,flavidus","olive or yellowtail  rockfish, This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail)"
FISH,FISH,PATR,Phanerodon,atripes,"sharpnose surfperch,"
FISH,FISH,PCAL,Paralichthys,californicus,"california halibut,"
FISH,FISH,PCLA,Paralabrax,clathratus,"kelp bass, calico bass,"
FISH,FISH,PCOE,Plueronichthys,coenosus,"C-O turbot,"
FISH,FISH,PFUR,Phanerodon,furcatus,"white surfperch,"
FISH,FISH,PGLA,Prionace,glauca,"blue shark,"
