Serial Num,Market,Vessel,Year,Processor,Reported Lbs,Converted Lbs,Price,Gear,Use,Origin,,Condition,Sub Market,Port,Unit,Month,Day,CFL Id
Z557899,752,30329,2011,8407,167,167,1.17,18,3,860,,,,881,LBS,12,21,L01739
Z557979,752,30329,2011,8407,740,740,0.89,18,3,860,,,,881,LBS,12,22,L01739
Z557413,752,30329,2011,8407,630,630,0.55,18,3,860,,,,881,LBS,11,17,L01739
Z557994,752,30329,2011,8407,234,234,1.07,18,3,860,,,,881,LBS,12,27,L01739
Z557450,752,30329,2011,8407,265,265,0.41,18,3,860,,,,881,LBS,11,11,L01739
Z557446,752,30329,2011,8407,612,612,0.54,18,3,860,,,,881,LBS,11,10,L01739
Z557883,752,30329,2011,8407,652,652,1.03,18,3,860,,,,881,LBS,12,17,L01739
Z557882,752,30329,2011,8407,904,904,0.78,18,3,860,,,,881,LBS,12,16,L01739
Z557876,752,30329,2011,8407,1109,1109,0.87,18,3,860,,,,881,LBS,12,15,L01739
Z557442,752,30329,2011,8407,600,600,0.54,18,3,860,,,,881,LBS,11,9,L01739
Z547053,752,30329,2011,84152,50,50,0.6,18,3,860,,,,881,LBS,12,21,L01739
Z547052,752,30329,2011,84152,83,83,0.6,18,3,860,,,,881,LBS,12,16,L01739
Z547051,752,30329,2011,84152,60,60,0.6,18,3,860,,,,881,LBS,12,14,L01739
Z557841,752,30329,2011,8407,212,212,0.68,18,3,860,,,,881,LBS,12,14,L01739
Z557835,752,30329,2011,8407,428,428,0.75,18,3,860,,,,881,LBS,12,7,L01739
Z557829,752,30329,2011,8407,422,422,0.9,18,3,860,,,,881,LBS,12,6,L01739
Z557823,752,30329,2011,8407,418,418,0.64,18,3,860,,,,881,LBS,12,5,L01739
Z557995,752,30329,2011,8407,542,542,0.6,18,3,860,,,,881,LBS,12,28,L01739
Z557997,752,30329,2011,8407,48,48,2.75,18,3,860,,,,881,LBS,12,29,L01739
Z557997,752,30329,2011,8407,701,701,0.81,18,3,860,,,,881,LBS,12,29,L01739
Z557997,752,30329,2011,8407,749,749,3.35,18,3,860,,,,881,LBS,12,29,L01739
Z552371,752,30329,2011,8407,170,170,1.2,18,3,860,,,,881,LBS,9,19,L01739
Z550835,752,30329,2011,8407,428,428,0.69,18,3,860,,,,881,LBS,8,2,L01739
Z550831,752,30329,2011,8407,740,740,0.84,18,3,860,,,,881,LBS,8,1,L01739
Z549750,752,30329,2011,8407,588,588,0.71,18,3,860,,,,881,LBS,7,28,L01739
Z549745,752,30329,2011,8407,875,875,0.62,18,3,860,,,,881,LBS,7,27,L01739
Z549345,752,30329,2011,8407,270,270,0.86,18,3,860,,,,881,LBS,5,27,L01739
Z549339,752,30329,2011,8407,259,259,1.05,18,3,860,,,,881,LBS,5,26,L01739
Z549333,752,30329,2011,8407,84,84,1.21,18,3,860,,,,881,LBS,5,25,L01739
Z549431,752,30329,2011,8407,261,261,0.13,18,3,860,,,,881,LBS,6,2,L01739
